model,subject,condition,mu_r2,beta_r2
csbrain,1,random_31,-0.04383575916634874,-0.5959717724204174
csbrain,3,random_31,-0.032611964297458496,0.1253309266684528
csbrain,6,random_31,-0.4409661349292089,-0.8581336095384415
csbrain,8,random_31,-0.05811755407606123,-0.6358383719461715
csbrain,9,random_31,-0.1538322591639305,0.46939613758471377
csbrain,11,random_31,-0.31838394608089704,-0.2752313193842262
csbrain,12,random_31,0.006548480276655222,-0.7696782632552324
csbrain,14,random_31,-0.17149013316493011,-0.0658883879210912
csbrain,15,random_31,-0.6788781051324568,-0.11543994362331134
csbrain,16,random_31,-0.35463943444123447,-0.9401711613095916
csbrain,17,random_31,-3.1627771822152377,-1.563648154604707
csbrain,18,random_31,-0.3722800838918461,-0.5665455714492715
csbrain,19,random_31,-0.24760923979500005,0.05216024038998501
csbrain,21,random_31,-0.3599281293684422,0.01590158236406547
csbrain,22,random_31,-0.7492955090754234,-0.45805251907734923
csbrain,25,random_31,-0.4485361668002945,-1.1104232972313453
csbrain,26,random_31,-0.142620705490196,-0.198749656613884
csbrain,29,random_31,-0.3601390785071483,-0.04634304893424712
csbrain,1,random_71,-0.025717795322042436,-0.5693162885775731
csbrain,3,random_71,-0.040125779668767736,0.12052314504028305
csbrain,6,random_71,-0.4352396682988833,-0.3671523644564523
csbrain,8,random_71,-0.02878786271430278,-0.6705591548295453
csbrain,9,random_71,-0.16949584822812325,0.484485255347313
csbrain,11,random_71,-0.32103573857074097,-0.2634890154639322
csbrain,12,random_71,-0.008431215739315157,-0.5046566901633831
csbrain,14,random_71,-0.15314327388582982,-0.2807592476287415
csbrain,15,random_71,-0.6748495091057809,-0.13274469759353402
csbrain,16,random_71,-0.30373066309143537,-0.9400048183435095
csbrain,17,random_71,-3.309942130438981,-1.496839888163442
csbrain,18,random_71,-0.3663052957295827,-0.5296505340367428
csbrain,19,random_71,-0.23656069343686204,0.1952195199176251
csbrain,21,random_71,-0.3359891956023109,0.020697328163004958
csbrain,22,random_71,-0.7622763429219297,-0.44660208279540736
csbrain,25,random_71,-0.43451119105032276,-1.0608225629469374
csbrain,26,random_71,-0.13287319683408394,-0.19065126160126522
csbrain,29,random_71,-0.36892173047624777,-0.07217900293039259
csbrain,1,random_113,-0.03906007193966077,-0.5936358048477917
csbrain,3,random_113,-0.04249177128007409,0.11496664554746328
csbrain,6,random_113,-0.4575806714279991,-0.9097360291373511
csbrain,8,random_113,-0.04168149365478735,-0.6660721746302241
csbrain,9,random_113,-0.1335660036984101,0.5067267459051453
csbrain,11,random_113,-0.3142342980082622,-0.26309080539000385
csbrain,12,random_113,-0.008160202445037346,-0.7494474457710141
csbrain,14,random_113,-0.15528043984477735,-0.06417224844329028
csbrain,15,random_113,-0.6929170568012237,-0.11391918496657505
csbrain,16,random_113,-0.3684393401441164,-0.9617628602009523
csbrain,17,random_113,-3.02776874268229,-1.546591996684846
csbrain,18,random_113,-0.364563786949212,-0.5461768085324121
csbrain,19,random_113,-0.22663730149518213,0.062048766598237326
csbrain,21,random_113,-0.35905241941255017,-0.0004948233276562686
csbrain,22,random_113,-0.7651089943684661,-0.4724370130971234
csbrain,25,random_113,-0.44207331813200956,-1.0938594254342098
csbrain,26,random_113,-0.1370651960222451,-0.19033487913256342
csbrain,29,random_113,-0.38287573856930646,-0.042355977652682286
